comparison	query_sequence	target_sequence	strand	alignment_count	matching_bp	alignment_block_bp	identity_pct
assembly1_vs_hapb	Chromosome_10B	Chromosome_7B	+	135	129382	899059	14.3908
assembly1_vs_hapb	Chromosome_10B	Chromosome_5B	-	148	213048	884572	24.0849
assembly1_vs_hapb	Chromosome_4B	Chromosome_2A	+	144	161523	793517	20.3553
assembly1_vs_hapb	Chromosome_3B	Chromosome_10A	+	107	187858	768940	24.4308
assembly1_vs_hapb	Chromosome_4B	Chromosome_6A	+	84	116749	736929	15.8426
assembly1_vs_hapb	Chromosome_2B	Chromosome_10A	-	67	82222	731332	11.2428
assembly1_vs_hapb	Chromosome_10B	Chromosome_6B	-	126	165419	693766	23.8436
assembly1_vs_hapb	Chromosome_4B	Chromosome_6A	-	79	78851	638291	12.3535
assembly1_vs_hapb	Chromosome_10B	Chromosome_2A	+	115	83050	634176	13.0957
assembly1_vs_hapb	Chromosome_3B	Chromosome_10A	-	97	134516	615402	21.8582
assembly1_vs_hapb	Chromosome_10B	Chromosome_6A	+	88	127407	590681	21.5695
assembly1_vs_hapb	Chromosome_10B	Chromosome_2A	-	142	132514	556863	23.7965
assembly1_vs_hapb	Chromosome_2B	Chromosome_6A	-	88	127381	491276	25.9286
assembly1_vs_hapb	Chromosome_4B	Chromosome_10A	+	44	44519	422056	10.5481
assembly1_vs_hapb	Chromosome_4B	Chromosome_10A	-	41	41013	397721	10.3120
assembly1_vs_hapb	Chromosome_1B	Chromosome_1B	-	9	133409	363869	36.6640
assembly1_vs_hapb	Chromosome_10B	Chromosome_4A	-	112	67012	352462	19.0125
assembly1_vs_hapb	Chromosome_1B	Chromosome_7B	+	6	248983	348125	71.5211
assembly1_vs_hapb	Chromosome_2B	Chromosome_10A	+	64	83691	234197	35.7353
assembly1_vs_hapb	Chromosome_1B	Chromosome_8B	+	4	102037	107686	94.7542
assembly1_vs_hapb	Chromosome_1B	Chromosome_8B	-	1	102797	106999	96.0729
assembly1_vs_hapb	Chromosome_6B	Chromosome_6B	-	3	43311	88416	48.9855
assembly1_vs_hapb	Chromosome_6B	Chromosome_8B	-	2	5940	64379	9.2266
assembly1_vs_hapb	Chromosome_5B	Chromosome_5B	+	4	23521	51260	45.8857
assembly1_vs_hapb	Chromosome_7B	Chromosome_9B	-	2	30932	43841	70.5550
assembly1_vs_hapb	Chromosome_7B	Chromosome_8B	+	3	17017	34809	48.8868
assembly1_vs_hapb	Chromosome_7B	Chromosome_8B	-	7	12416	28964	42.8670
assembly1_vs_hapb	Chromosome_7B	Chromosome_4A	+	2	9609	22488	42.7295
assembly1_vs_hapb	Chromosome_1B	Chromosome_5B	+	3	11276	15415	73.1495
assembly1_vs_hapb	Chromosome_7B	Chromosome_2A	+	2	584	14600	4.0000
assembly1_vs_hapb	Chromosome_7B	Chromosome_6A	+	2	9225	13296	69.3818
assembly1_vs_hapb	Chromosome_7B	Chromosome_1B	-	8	2031	13193	15.3945
assembly1_vs_hapb	Chromosome_7B	Chromosome_7B	-	7	6022	12432	48.4395
assembly1_vs_hapb	Chromosome_5B	Chromosome_4A	+	2	357	12328	2.8958
assembly1_vs_hapb	Chromosome_7B	Chromosome_4A	-	4	467	9219	5.0656
assembly1_vs_hapb	Chromosome_5B	Chromosome_7B	-	1	165	9165	1.8003
assembly1_vs_hapb	Chromosome_5B	Chromosome_6A	+	2	570	7490	7.6101
assembly1_vs_hapb	Chromosome_5B	Chromosome_8B	-	2	695	4576	15.1879
assembly1_vs_hapb	Chromosome_1B	Chromosome_6B	-	3	699	4440	15.7432
assembly1_vs_hapb	Chromosome_1B	Chromosome_9B	-	2	2262	4431	51.0494
assembly1_vs_hapb	Chromosome_7B	Chromosome_2A	-	3	1283	4354	29.4672
assembly1_vs_hapb	Chromosome_5B	Chromosome_4A	-	4	1969	4006	49.1513
assembly1_vs_hapb	Chromosome_7B	Chromosome_6B	-	7	1368	3520	38.8636
assembly1_vs_hapb	Chromosome_1B	Chromosome_2A	-	4	657	2694	24.3875
assembly1_vs_hapb	Chromosome_1B	Chromosome_6B	+	4	700	1959	35.7325
assembly1_vs_hapb	Chromosome_1B	Chromosome_6A	+	5	814	1923	42.3297
assembly1_vs_hapb	Chromosome_1B	Chromosome_7B	-	3	241	1857	12.9779
assembly1_vs_hapb	Chromosome_1B	Chromosome_2A	+	3	232	1291	17.9706
assembly1_vs_hapb	Chromosome_1B	Chromosome_4A	+	2	1058	1175	90.0426
assembly1_vs_hapb	Chromosome_5B	Chromosome_6A	-	3	746	1162	64.1997
assembly1_vs_hapb	Chromosome_7B	Chromosome_5B	+	1	772	1065	72.4883
assembly1_vs_hapb	Chromosome_1B	Chromosome_5B	-	2	108	970	11.1340
assembly1_vs_hapb	Chromosome_5B	Chromosome_1B	-	1	239	496	48.1855
assembly1_vs_hapb	Chromosome_5B	Chromosome_6B	-	1	52	445	11.6854
assembly1_vs_hapb	Chromosome_1B	Chromosome_6A	-	1	78	409	19.0709
assembly1_vs_hapb	Chromosome_7B	Chromosome_10A	-	3	201	352	57.1023
assembly1_vs_hapb	Chromosome_6B	Chromosome_4A	-	1	167	274	60.9489
assembly1_vs_hapb	Chromosome_1B	Chromosome_9B	+	1	46	228	20.1754
assembly1_vs_hapb	Chromosome_7B	Chromosome_1B	+	1	51	200	25.5000
assembly1_vs_hapb	Chromosome_6B	Chromosome_8B	+	1	56	163	34.3558
assembly1_vs_hapb	Chromosome_1B	Chromosome_4A	-	1	48	102	47.0588
assembly1_vs_hapb	Chromosome_7B	Chromosome_5B	-	1	48	79	60.7595
assembly1_vs_hapb	Chromosome_7B	Chromosome_9B	+	1	40	49	81.6327
hapa_vs_hapb	Chromosome_1B	Chromosome_1A	-	651	49581275	69732870	71.1017
hapa_vs_hapb	Chromosome_2B	Chromosome_2A	-	703	43345417	59246796	73.1608
hapa_vs_hapb	Chromosome_3B	Chromosome_6A	+	1132	40157311	58908843	68.1686
hapa_vs_hapb	Chromosome_2B	Chromosome_2A	+	657	44882588	57863059	77.5669
hapa_vs_hapb	Chromosome_4B	Chromosome_4A	+	390	40557051	57555447	70.4661
hapa_vs_hapb	Chromosome_5B	Chromosome_5A	-	382	43486356	57141717	76.1026
hapa_vs_hapb	Chromosome_6B	Chromosome_3A	-	498	46013363	56540546	81.3812
hapa_vs_hapb	Chromosome_1B	Chromosome_1A	+	686	39253771	53209273	73.7724
hapa_vs_hapb	Chromosome_3B	Chromosome_6A	-	1024	31340870	51290602	61.1045
hapa_vs_hapb	Chromosome_5B	Chromosome_5A	+	504	38618665	48544943	79.5524
hapa_vs_hapb	Chromosome_7B	Chromosome_7A	+	1685	34955957	48120739	72.6422
hapa_vs_hapb	Chromosome_6B	Chromosome_3A	+	347	36427206	48087872	75.7513
hapa_vs_hapb	Chromosome_7B	Chromosome_7A	-	667	30303344	47198127	64.2045
hapa_vs_hapb	Chromosome_4B	Chromosome_4A	-	411	39131318	47106562	83.0698
hapa_vs_hapb	Chromosome_8B	Chromosome_8A	-	893	24953185	43739584	57.0494
hapa_vs_hapb	Chromosome_9B	Chromosome_9A	-	513	30317228	42624115	71.1269
hapa_vs_hapb	Chromosome_8B	Chromosome_8A	+	1018	24530888	41858705	58.6040
hapa_vs_hapb	Chromosome_9B	Chromosome_9A	+	502	28830754	38504518	74.8763
hapa_vs_hapb	Chromosome_10B	Chromosome_10A	-	615	21545812	36037199	59.7877
hapa_vs_hapb	Chromosome_10B	Chromosome_10A	+	569	18387705	32738093	56.1661
hapa_vs_hapb	Chromosome_8B	Chromosome_4A	-	421	1184740	3860085	30.6921
hapa_vs_hapb	Chromosome_7B	Chromosome_4A	+	489	1135842	3732745	30.4291
hapa_vs_hapb	Chromosome_8B	Chromosome_2A	+	463	855857	3721840	22.9955
hapa_vs_hapb	Chromosome_3B	Chromosome_3A	-	415	480268	3595022	13.3593
hapa_vs_hapb	Chromosome_8B	Chromosome_2A	-	470	712613	3573321	19.9426
hapa_vs_hapb	Chromosome_8B	Chromosome_4A	+	374	1147739	3401796	33.7392
hapa_vs_hapb	Chromosome_2B	Chromosome_3A	+	264	464986	3164981	14.6916
hapa_vs_hapb	Chromosome_8B	Chromosome_1A	-	530	563024	3146176	17.8955
hapa_vs_hapb	Chromosome_3B	Chromosome_4A	-	342	722632	3051488	23.6813
hapa_vs_hapb	Chromosome_3B	Chromosome_3A	+	368	535098	2787069	19.1993
hapa_vs_hapb	Chromosome_2B	Chromosome_1A	-	327	429957	2685585	16.0098
hapa_vs_hapb	Chromosome_8B	Chromosome_3A	-	348	782375	2659187	29.4216
hapa_vs_hapb	Chromosome_2B	Chromosome_4A	-	294	572195	2567941	22.2822
hapa_vs_hapb	Chromosome_3B	Chromosome_1A	+	385	326486	2527137	12.9192
hapa_vs_hapb	Chromosome_8B	Chromosome_9A	-	304	412743	2503979	16.4835
hapa_vs_hapb	Chromosome_3B	Chromosome_8A	-	195	780629	2496487	31.2691
hapa_vs_hapb	Chromosome_2B	Chromosome_8A	+	159	717714	2493634	28.7819
hapa_vs_hapb	Chromosome_3B	Chromosome_5A	+	318	544599	2487908	21.8898
hapa_vs_hapb	Chromosome_8B	Chromosome_6A	-	291	416215	2462559	16.9017
hapa_vs_hapb	Chromosome_3B	Chromosome_4A	+	347	735310	2456440	29.9340
hapa_vs_hapb	Chromosome_1B	Chromosome_5A	+	316	485501	2413233	20.1183
hapa_vs_hapb	Chromosome_8B	Chromosome_3A	+	313	400521	2407283	16.6379
hapa_vs_hapb	Chromosome_8B	Chromosome_9A	+	289	928074	2398425	38.6951
hapa_vs_hapb	Chromosome_1B	Chromosome_4A	+	358	528172	2384731	22.1481
hapa_vs_hapb	Chromosome_3B	Chromosome_7A	+	260	430174	2354674	18.2689
hapa_vs_hapb	Chromosome_8B	Chromosome_10A	-	214	531520	2340730	22.7074
hapa_vs_hapb	Chromosome_3B	Chromosome_2A	+	354	341309	2330255	14.6469
hapa_vs_hapb	Chromosome_8B	Chromosome_1A	+	495	417697	2322823	17.9823
hapa_vs_hapb	Chromosome_7B	Chromosome_3A	-	324	308454	2281695	13.5186
hapa_vs_hapb	Chromosome_3B	Chromosome_1A	-	365	379868	2241070	16.9503
hapa_vs_hapb	Chromosome_7B	Chromosome_4A	-	299	460074	2236068	20.5751
hapa_vs_hapb	Chromosome_8B	Chromosome_7A	+	297	456765	2229774	20.4848
hapa_vs_hapb	Chromosome_2B	Chromosome_4A	+	273	465720	2225680	20.9248
hapa_vs_hapb	Chromosome_3B	Chromosome_7A	-	276	564685	2198295	25.6874
hapa_vs_hapb	Chromosome_8B	Chromosome_7A	-	313	564719	2179327	25.9125
hapa_vs_hapb	Chromosome_6B	Chromosome_4A	+	178	611759	2166205	28.2410
hapa_vs_hapb	Chromosome_7B	Chromosome_3A	+	299	333845	2144622	15.5666
hapa_vs_hapb	Chromosome_3B	Chromosome_9A	+	256	303979	2115191	14.3712
hapa_vs_hapb	Chromosome_8B	Chromosome_5A	+	348	380230	2072755	18.3442
